Date,Unique trial code,Original trial,trip,trial,det,Left camera,Right camera,Camera,Card Left,Card Right,Time start,Time app,App#,Pass#,ID,dist,reaction,App Direction,Time bait,Comments,Discard?
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,7,1,Itchy,2.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,7,2,Itchy,1.5,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,7,3,Itchy,6,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,7,4,Itchy,2,N,,,,
26/3/20,,12,3,15,Boat01,?,?,?,45,37,,,1,1,Unknown,5,N,,,,
26/3/20,13m,13,3,16,Control,?,?,?,45,37,3:50,,1,1,Itchy,1,N,,,Touched line,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,1,2,Itchy,0.5,N,,,Touched line,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,1,Itchy,3,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,2,Itchy,2,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,3,Itchy,3,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,4,Itchy,1.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,5,Itchy,2,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,6,Itchy,1.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,3,1,Itchy,2.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,3,2,Itchy,1.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,4,1,Itchy,3,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,4,2,Itchy,,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,5,1,Itchy,3,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,5,2,Itchy,1,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,6,1,Itchy,1.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,7,1,Itchy,2.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,8,1,Itchy,10,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,9,1,Itchy,4,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,10,1,Itchy,3,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,10,2,Itchy,5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,11,1,Itchy,0.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,11,2,Itchy,0.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,1,1,Unknown,5,N,D,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,1,Unknown,10,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,2,Unknown,0.5,N,,,,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,3,Unknown,1.5,N,,,Nudged float,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,4,Unknown,2,N,,,Nudged float,
26/3/20,,13,3,16,Control,?,?,?,45,37,,,2,5,Unknown,2,N,,,Grabbed rope bottom,
26/3/20,14m,14,3,17,Boat01,?,?,?,45,37,4:12,,1,1,Itchy,2,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,1,2,Itchy,2,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,1,3,Itchy,4,N,,,,
26/3/20,,14,3,17,Boat01,?,?,?,45,37,,,2,1,Itchy,5,N,,,,
