Month,trip,Original trial,trial,Deterrent,Filename,Frame,Time (mins),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Family,Genus,Species,Code,Number,Stage,Activity,Shark ID,Bait taken?,Comment,LOI,AT,Reaction
March,3,8,10,Boat01,Left_8_20200326_1.MP4,30228,32.4558,10997.838,214.248,134.576,9066.518,17.614,69.152,7.678,2679.997,587.336,-8641.435,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,30712,32.5903,3651.251,79.274,287.637,7248.625,17.505,70.746,24.054,1832.518,1181.311,-6912.955,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,Measurment from Pectoral fin,M,D,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,31538,32.82,1062.717,4.693,106.081,4644.616,5.967,2.025,65.806,477.513,71.516,-4619.451,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,36809,34.2856,3858.97,38.041,240.588,4832.205,14.441,59.818,23.84,932.2,763.707,-4679.526,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,Measurement from Pectrol Fin,M,S,N
March,3,8,10,Boat01,Left_8_20200326_1.MP4,42139,35.7677,2892.353,27.932,106.85,4980.674,12.925,40.434,24.384,1062.162,336.088,-4854.48,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,Left_8_20200326_2 and Left_9_20200326.MP4,637,36.2042,11589.45,10000,47.065,2654.097,41.382,74.872,2.356,-1720.169,-345.77,1991.404,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,S,N
March,3,8,10,Boat01,Left_8_20200326_2 and Left_9_20200326.MP4,1235,36.3705,889.45,3.858,73.907,4157.896,3.265,5.135,46.643,-222.054,82.368,-4151.146,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Small,N,,M,D,N
March,3,8,10,Boat01,Left_8_20200326_2 and Left_9_20200326.MP4,7478,38.1064,2744.948,50.601,178.751,5475.275,5.487,79.925,19.049,466.3,-238.006,-5450.189,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,,M,D,N
March,3,9,11,Control,Left_8_20200326_2 and Left_9_20200326.MP4,33988,45.4777,4964.225,118.788,94.64,8063.632,6.023,73.701,8.845,660.125,529.226,-8019.122,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Unknown,N,measurement not accurate,M,D,N
March,3,9,11,Control,Left_9_20200326_1.MP4,8259,50.4779,1585.248,22.943,81.463,3975.98,7.702,73.479,26.543,-372.917,380.625,-3940.111,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,9,11,Control,Left_9_20200326_1.MP4,9042,50.6956,998.928,11.804,59.294,3098.426,9.668,53.192,23.744,-520.262,-10.673,-3054.416,EBBH,20210609,Lamnidae,Carcharodon,carcharias,37010003,Bait,AD,Passing,Shark 4,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,9869,2.7441,1391.826,5.829,112.77,5197.728,4.394,1.747,55.705,373.521,137.992,-5182.452,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,Measurement from Tail,M,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,12248,3.4056,1944.315,47.893,289.119,7220.466,15.284,86.279,55.156,1581.884,1058.446,-6965.089,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,18013,5.0086,3235.775,22.191,135.195,3129.028,2.432,70.532,14.943,11.552,-132.255,-3126.21,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,18400,5.1162,704.073,54.927,130.813,7829.761,14.165,43.264,33.916,1706.386,871.526,-7591.696,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,,M,S,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,20021,5.567,7876.815,148.128,100.164,7960.197,7.491,81.629,12.791,901.88,513.46,-7892.256,BH,20200614,,,carcharias,,Bait,AD,Passing,Itchy,N,Measurement from Dorsal,M,D,N
March,3,10,12,Boat01,Left_10b_20200326.MP4,20514,5.704,983.882,7.424,142.468,4029.776,8.658,15.13,14.074,-78.134,-601.585,-3983.853,BH,20200614,,,carcharias,,Bait,AD,Passing,Scratchy,N,,M,D,N
