trip,trial,det,time,ID,activity,dist,app_type,intent,reaction
4,23,Control,1.2571,New Tagged,Passing,4042.937,D,M,N
4,23,Control,1.4609,New Tagged,Passing,4586.093,D,M,N
4,23,Control,3.833,New Tagged,Passing,6885.954,D,M,N
4,23,Control,5.7215,New Tagged,Passing,2697.986,D,M,N
4,23,Control,7.0765,New Tagged,Passing,2499.326,D,H,N
4,23,Control,7.1697,New Tagged,Passing,2221.395,D,H,N
4,23,Control,8.1123,New Tagged,Passing,2152.969,D,M,N
4,23,Control,8.6592,New Tagged,Passing,2727.383,D,M,Y
4,23,Control,9.2159,New Tagged,Passing,2146.576,D,H,N
4,24,Boat01 80-V,12.5628,New Tagged,Feeding,0,S,H,N
4,24,Boat01 80-V,13.1885,Marlin,Feeding,0,S,H,N
4,24,Boat01 80-V,2.7311,New Tagged,Passing,3298.941,S,M,N
4,24,Boat01 80-V,3.4532,New Tagged,Passing,3425.627,D,M,N
4,24,Boat01 80-V,7.0704,Unknown,Passing,4354.262,D,L,N
4,24,Boat01 80-V,7.6307,New Tagged,Passing,3525.172,S,M,N
4,24,Boat01 80-V,8.414,New Tagged,Passing,12582.466,D,M,N
4,24,Boat01 80-V,10.2811,New Tagged,Passing,3461.005,D,M,N
4,24,Boat01 80-V,10.9151,New Tagged,Passing,3319.479,D,M,N
4,25,Boat01 80-V,12.8845,Unknown,Passing,6350.635,D,M,N
4,25,Boat01 80-V,13.5866,New Tagged,Passing,3505.875,D,M,N
4,25,Boat01 80-V,14.3201,New Tagged,Passing,1642.934,D,M,N
4,25,Boat01 80-V,15.2166,New Tagged,Passing,2976.276,D,M,N
4,25,Boat01 80-V,5.664,New Tagged,Passing,1732.122,D,M,Y
4,25,Boat01 80-V,5.9204,New Tagged,Passing,975.482,D,M,N
4,25,Boat01 80-V,6.2212,New Tagged,Passing,945.345,D,M,N
4,25,Boat01 80-V,6.4887,Unknown,Passing,1326.08,D,M,N
4,25,Boat01 80-V,6.6758,Unknown,Passing,617.245,D,M,N
4,25,Boat01 80-V,7.2611,Unknown,Passing,2996.278,D,M,N
4,25,Boat01 80-V,7.2611,Unknown,Passing,2404.803,D,M,N
4,25,Boat01 80-V,8.424,New Tagged,Passing,2460.367,D,M,N
4,25,Boat01 80-V,11.1948,New Tagged,Passing,3734.991,D,M,Y
4,25,Boat01 80-V,11.3602,New Tagged,Passing,985.065,V,M,N
4,25,Boat01 80-V,11.536,New Tagged,Passing,14981.66,D,M,N
4,25,Boat01 80-V,11.9019,New Tagged,Passing,10499.11,D,M,N
4,26,Control,10.0575,New Tagged,Feeding,0,D,H,N
4,26,Control,13.8302,New Tagged,Passing,5385.505,D,M,N
4,26,Control,14.4667,Marlin,Feeding,0,V,H,N
4,27,Control,9.386,Old Tag,Passing,2796.173,S,M,N
4,27,Control,9.4113,New Tagged,Passing,3686.464,V,M,N
4,27,Control,9.9085,New Tagged,Passing,Cannot compute,V,H,N
4,27,Control,13.1351,New Tagged,Passing,8311.029,D,M,N
4,27,Control,13.4012,New tagged,Passing,Cannot compute,D,M,N
4,27,Control,16.0449,New tagged,Passing,3062.87,D,M,N
4,27,Control,16.658,New Tagged,Passing,2637.708,V,M,N
4,27,Control,17.054,New Tagged,Feeding,0,D,H,N
4,27,Control,18.2858,New Tagged,Passing,1254.965,S,M,N
