dist,data
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2.5,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
2,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
1.5,stereo-camera
