Month,trip,Original trial,trial,Deterrent,Time (mins),dist,Precision (mm),RMS (mm),Number,Activity,ID,Bait taken?,Comment,LOI,AT,react
March,3,15,16,Boat01,8.3058,2526.012,36.354,130.688,Bait,Passing,Kachow,N,reaction - very quick head move,H,S,Y
March,3,15,16,Boat01,9.4119,0,35.338,37.596,Bait,Feeding,Kachow,N,,H,D,N
March,3,15,16,Boat01,10.2522,1708.487,33.858,210.335,Bait,Passing,Itchy,N,,M,S,N
March,3,15,16,Boat01,10.3606,6613.572,108.393,435.939,Bait,Passing,Kachow,N,,H,D,N
March,3,15,16,Boat01,12.8286,923.649,25.229,81.186,Bait,Passing,Unknown,N,,M,D,N
March,3,15,16,Boat01,13.39,5314.322,80.195,382.338,Bait,Passing,Unknown,N,,M,S,N
March,3,15,16,Boat01,16.1895,2051.427,34.472,103.225,Bait,Passing,Itchy,N,Taken from Tail,M,S,N
March,3,15,16,Boat01,16.1895,3485.987,35.357,103.521,Bait,Passing,Itchy,N,Taken from Tail,M,S,N
March,3,15,16,Boat01,16.8238,4324.919,79.344,102.635,Bait,Passing,Itchy,N,,M,D,N
March,3,15,16,Boat01,17.379,1087.762,12.072,137.943,Bait,Passing,Itchy,N,,M,D,N
March,3,15,16,Boat01,17.7466,715.588,6.356,113.211,Bait,Passing,Itchy,N,,M,S,N
April,4,1b,17,Boat01,3.7899,2176.948,25.556,94.254,Bait,Passing,Shark 1,N,,M,D,N
April,4,1b,17,Boat01,8.0136,2873.539,49.718,98.786,Bait,Passing,Shark 1,N,,M,D,N
April,4,1b,17,Boat01,8.4279,2378.213,64.542,150.56,Bait,Passing,Shark 1,N,,M,S,N
April,4,2b,18,Control,13.6887,888.754,26.722,72.364,Bait,Passing,Shark 2,N,,M,V,N
April,4,2b,18,Control,14.6755,3809.224,42.719,108.731,Bait,Passing,Shark 2,N,,L,D,N
April,4,2b,18,Control,14.864,4005.31,59.292,117.618,Bait,Passing,Shark 2,N,,M,D,N
April,4,2b,18,Control,14.9936,4927.029,84.717,145.718,Bait,Passing,Shark 2,N,,M,D,N
April,4,2b,18,Control,7.718,783.417,34.454,82.876,Bait,Passing,Shark 1,N,,M,V,N
April,4,2b,18,Control,8.1687,872.823,13.519,83.755,Bait,Passing,Shark 1,N,Reaction - quick turn away?,M,D,Y
April,4,2b,18,Control,8.3914,1345.051,40.87,94.056,Bait,Passing,Shark 1,N,,M,D,N
April,4,1,19,Boat01,13.08,1827.576,46.917,21.661,Bait,Passing,Old Tag,N,Reaction - quick flick of head,H,D,Y
April,4,1,19,Boat01,15.1924,3653.272,8357.027,8.686,Bait,Passing,Old Tag,N,,H,D,N
April,4,1,19,Boat01,9.8237,1996.726,29.666,5.815,Bait,Passing,Old Tag,N,,H,D,N
April,4,1,19,Boat01,10.5205,1050.262,32.953,4.963,Bait,Passing,Old Tag,N,,H,S,N
April,4,2,20,Control,21.7859,2924.233,50.392,10.884,Bait,Passing,Old Tag,N,,M,D,N
April,4,2,20,Control,22.0684,0,49.407,49.327,Bait,Feeding,Old Tag,N,,H,S,N
April,4,2,20,Control,23.2888,1973.531,45.793,14.776,Bait,Passing,Old Tag,N,,H,D,N
April,4,2,20,Control,25.1977,5029.665,87.246,27.797,Bait,Passing,Old Tag,N,,M,D,N
April,4,2,20,Control,25.4588,2422.236,37.577,12.462,Bait,Passing,Old Tag,N,,H,S,N
April,4,2,20,Control,25.7471,3692.641,21.351,9.749,Bait,Passing,Old Tag,N,Taken from Pecotral,M,S,N
April,4,3,21,Boat01,54.7558,2904.82,56.867,75.836,Bait,Passing,Old Tag,N,,M,S,N
April,4,3,21,Boat01,56.0465,5828.746,56.289,6.318,Bait,Passing,Old Tag,N,,M,D,N
April,4,3,21,Boat01,59.2325,1708.41,48.482,8.043,Bait,Passing,New Tagged,N,,H,D,N
April,4,3,21,Boat01,59.6443,3278.857,48.272,30.067,Bait,Passing,New Tagged,N,,H,D,N
April,4,4,22,Boat01,68.5946,2675.162,60.553,31.152,Bait,Passing,New Tagged,N,,M,D,N
April,4,4,22,Boat01,68.6964,940.236,32.919,17.174,Bait,Passing,New Tagged,N,Reaction - whole body spasm,H,D,Y
April,4,4,22,Boat01,68.9219,4110.414,79.071,16.553,Bait,Passing,Unknown,N,,M,D,N
April,4,4,22,Boat01,69.4024,4238.709,90.427,26.383,Bait,Passing,Unknown,N,,M,D,N
April,4,4,22,Boat01,69.7133,3351.764,77.131,38.655,Bait,Passing,Unknown,N,,M,D,N
