trip,trial,det,ID,dist,reaction
3,17,Boat01,Itchy,2,N
3,17,Boat01,Itchy,2,N
3,17,Boat01,Itchy,4,N
3,17,Boat01,Itchy,5,N
3,17,Boat01,Itchy,3,N
3,17,Boat01,Itchy,1,N
3,17,Boat01,Itchy,2,N
3,17,Boat01,Itchy,2,N
3,17,Boat01,Itchy,0.5,N
3,17,Boat01,Itchy,10,N
3,17,Boat01,Itchy,1.5,N
3,17,Boat01,Itchy,5,N
3,17,Boat01,Itchy,7,N
3,17,Boat01,Itchy,6,N
3,17,Boat01,Itchy,1,N
3,17,Boat01,Itchy,4,N
3,17,Boat01,Itchy,6,N
3,17,Boat01,Itchy,4,N
3,17,Boat01,Itchy,6,N
3,17,Boat01,Scratchy,4,N
3,17,Boat01,Scratchy,2.5,Y
3,17,Boat01,Scratchy,12,N
3,17,Boat01,Scratchy,7,N
3,17,Boat01,Unknown,7,N
3,17,Boat01,Unknown,5,N
3,17,Boat01,Unknown,4,N
3,18,Boat01,Itchy,1,N
3,18,Boat01,Itchy,1.5,N
3,18,Boat01,Itchy,2.5,N
3,18,Boat01,Itchy,2,N
3,18,Boat01,Itchy,8,N
3,18,Boat01,Itchy,2.5,N
3,18,Boat01,Itchy,2.5,N
3,18,Boat01,Itchy,6,N
3,18,Boat01,Itchy,2.5,N
3,18,Boat01,Shark 4,3,N
3,18,Boat01,Shark 4,12,N
3,18,Boat01,Shark 4,6,N
3,18,Boat01,Shark 4,2,N
3,18,Boat01,Shark 4,10,N
3,18,Boat01,Shark 4,3,N
3,18,Boat01,Shark 4,2.5,N
3,18,Boat01,Shark 4,3.5,N
3,18,Boat01,Unknown,2,Y
3,18,Boat01,Unknown,2.5,N
3,18,Boat01,Unknown,3,N
3,18,Boat01,Unknown,2,N
3,18,Boat01,Unknown,3,N
3,18,Boat01,Unknown,5,N
3,19,Control,Unknown,0,N
3,20,Control,B.I.G,1,N
3,20,Control,B.I.G,1,N
3,20,Control,B.I.G,1,N
3,20,Control,B.I.G,2,N
3,20,Control,B.I.G,4,N
3,20,Control,B.I.G,1.5,N
3,20,Control,B.I.G,1,N
3,20,Control,B.I.G,0,N
3,20,Control,Flat Top,20,N
3,20,Control,Flat Top,3,N
3,20,Control,Itchy,30,N
3,20,Control,Itchy,1.5,N
3,20,Control,Itchy,1.5,N
3,20,Control,Itchy,30,N
3,20,Control,Itchy,10,N
4,21,Boat01,Shark 1,3,N
4,21,Boat01,Unknown,3,N
4,22,Control,Shark 1,5,N
4,22,Control,Shark 2,5,N
4,22,Control,Unknown,0.5,Y
4,22,Control,Unknown,8,N
4,22,Control,Unknown,5,N
4,22,Control,Unknown,1,N
4,22,Control,Unknown,,N
4,22,Control,Unknown,5,N
4,22,Control,Unknown,5,N
4,22,Control,Unknown,2,N
4,22,Control,Unknown,3,N
4,22,Control,Unknown,2,N
4,22,Control,Unknown,2,N
4,22,Control,Unknown,2,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,3,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,6,N
4,22,Control,Unknown,3,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,2,N
4,22,Control,Unknown,3.5,N
4,22,Control,Unknown,4,N
4,22,Control,Unknown,5,N
4,22,Control,Unknown,4.5,N
4,22,Control,Unknown,3.5,N
4,22,Control,Unknown,1,N
4,22,Control,Unknown,3,N
4,23,Boat01,Unknown,1,N
4,23,Boat01,Unknown,2.5,N
4,23,Boat01,Unknown,4,N
4,23,Boat01,Unknown,0.5,Y
4,23,Boat01,Unknown,10,N
4,23,Boat01,Unknown,0,N
4,23,Boat01,Old tag,2,N
4,24,Control,Unknown,3,N
4,24,Control,Unknown,5,N
4,24,Control,Unknown,0,N
4,24,Control,Unknown,1,N
4,24,Control,Unknown,7,N
4,24,Control,Unknown,3,N
4,24,Control,Unknown,1.5,N
4,24,Control,Unknown,4,N
4,24,Control,Unknown,0,N
4,25,Boat01,Unknown,8,N
4,25,Boat01,Unknown,10,N
4,25,Boat01,Unknown,1,N
4,25,Boat01,Unknown,4,N
4,25,Boat01,Unknown,5,N
4,25,Boat01,New tagged,5,N
4,25,Boat01,New tagged,5,N
4,25,Boat01,New tagged,3.5,N
4,25,Boat01,New tagged,3.5,N
4,25,Boat01,New tagged,5,N
4,25,Boat01,New tagged,0,N
4,26,Boat01,Unknown,3.5,N
4,26,Boat01,Unknown,1,Y
4,26,Boat01,Unknown,2,Y
4,26,Boat01,Unknown,2,Y
4,26,Boat01,Unknown,3.5,N
4,26,Boat01,Unknown,5,N
4,26,Boat01,Unknown,5,N
4,26,Boat01,New tagged,5,N
4,26,Boat01,New tagged,1.5,N
4,26,Boat01,New tagged,8,N
4,26,Boat01,New tagged,2.5,N
4,27,Control,Unknown,3.5,N
4,27,Control,Unknown,10,N
4,27,Control,Unknown,8,N
4,27,Control,Unknown,3,N
4,27,Control,Unknown,1,N
4,27,Control,Unknown,0.2,N
4,27,Control,Unknown,2.5,N
4,27,Control,Unknown,2.5,Y
4,27,Control,Unknown,3,N
4,27,Control,Unknown,1.5,N
4,27,Control,Unknown,3,N
4,27,Control,New tagged,6,N
4,28,Control,Unknown,1,N
4,28,Control,Unknown,2,N
4,28,Control,Unknown,4,N
4,28,Control,Unknown,1,N
4,28,Control,Unknown,1,N
4,28,Control,Unknown,2,Y
4,28,Control,New tagged,3,N
4,28,Control,New tagged,6,N
4,28,Control,New tagged,2,N
4,28,Control,New tagged,1,N
4,28,Control,New tagged,5,N
4,28,Control,New tagged,4,N
4,28,Control,Old tag,6,N
4,28,Control,Old tag,6,N
4,28,Control,Old tag,4,N
4,28,Control,Old tag,1,N
4,28,Control,Old tag,0,N
4,29,Boat01,Unknown,4.5,N
4,29,Boat01,Unknown,0.5,Y
4,29,Boat01,Unknown,3.5,N
4,29,Boat01,Unknown,1.5,N
4,29,Boat01,Unknown,2,N
4,29,Boat01,Unknown,0.5,N
4,29,Boat01,Unknown,0,N
4,29,Boat01,Marlin,0,N
4,29,Boat01,New tagged,1,N
4,29,Boat01,New tagged,3,N
4,29,Boat01,New tagged,4,N
4,29,Boat01,New tagged,3.5,N
4,30,Boat01,Unknown,,N
4,30,Boat01,Unknown,2,N
4,30,Boat01,Unknown,,N
4,30,Boat01,Unknown,5,N
4,30,Boat01,Unknown,1.5,N
4,30,Boat01,Unknown,3,N
4,30,Boat01,Unknown,,N
4,30,Boat01,Unknown,2,N
4,30,Boat01,Unknown,2.5,N
4,30,Boat01,Unknown,3,N
4,30,Boat01,Unknown,,N
4,30,Boat01,Unknown,8,N
4,30,Boat01,Unknown,3.5,N
4,30,Boat01,New tagged,6,N
4,30,Boat01,New tagged,2,N
4,30,Boat01,New tagged,1.5,N
4,30,Boat01,New tagged,1.5,N
4,31,Control,Marlin,0,N
4,31,Control,New tagged,0,N
4,32,Control,Unknown,8,N
4,32,Control,Unknown,5,N
4,32,Control,Unknown,3,N
4,32,Control,Unknown,5,N
4,32,Control,Unknown,2,N
4,32,Control,Unknown,3.5,N
4,32,Control,Unknown,2.5,N
4,32,Control,Unknown,1.5,N
